Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSMUSG00000026235	29.130467008644395	0.8500763599414256	0.025165525911016905	3.2430003198453592e-251	1.6212441335816392e-248	TRUE
ENSMUSG00000029155	1.4958807780531507	0.847989906356093	0.11312908982632512	5.143822590767017e-15	6.540642420133936e-14	TRUE
ENSMUSG00000027867	1.6058623768557632	0.8465328701546234	0.10912307723322764	6.765364543740117e-16	9.012737043298108e-15	TRUE
ENSMUSG00000049336	18.02308603110577	0.8451703884674461	0.03199225413276882	7.024413314713792e-155	1.4348685993507304e-152	TRUE
ENSMUSG00000042045	1.1993757887257062	0.8419296565787723	0.1268771258467772	2.436422965773031e-12	2.634304330153117e-11	TRUE
ENSMUSG00000044244	1.657461136706492	0.841035270051763	0.10727705651523602	3.4664717171164958e-16	4.697044451502287e-15	TRUE
ENSMUSG00000098557	18.483402231326924	0.8410120336901855	0.03208490060818012	1.8983854229764453e-152	3.642790694978134e-150	TRUE
ENSMUSG00000024074	12.948467081309301	0.8367907186799153	0.037732383550943445	4.9242364680544875e-110	6.035207753782652e-108	TRUE
ENSMUSG00000029772	26.79183357397667	0.8344885376597823	0.026206652329723253	1.3988891153342266e-223	5.423407453878429e-221	TRUE
ENSMUSG00000099564	1.4730116683868437	0.8291657651204002	0.11388107095316659	2.6007401564795888e-14	3.1630128522818663e-13	TRUE
ENSMUSG00000039099	1.1706133131074696	0.8279194786558256	0.12836885367378337	8.551058160386111e-12	8.935338386845707e-11	TRUE
ENSMUSG00000086017	1.2390664054283802	0.8223107824432865	0.12454499798252791	3.1220216780515434e-12	3.347011615008192e-11	TRUE
ENSMUSG00000021981	7.2012897880068065	0.8221308247665949	0.05111237020119267	2.6354160549356038e-59	1.3641689045125794e-57	TRUE
ENSMUSG00000015957	1.2490438451639367	0.8211622519212982	0.12400848611452192	2.7415802524639536e-12	2.947470291797268e-11	TRUE
ENSMUSG00000021118	1.1229599464574054	0.8199295816753459	0.13107653086940368	3.01950557970501e-11	3.0350025131034954e-10	TRUE
ENSMUSG00000034917	1.8605634373231734	0.818970962851168	0.1009789005710706	4.021970435836751e-17	5.775160420981917e-16	TRUE
ENSMUSG00000033740	4.156448005751854	0.8154457159840853	0.06711006576375152	4.6908287742627567e-35	1.3182200329093134e-33	TRUE
ENSMUSG00000027967	1.288278319999636	0.812899182898738	0.12200445846934968	2.0826687547390075e-12	2.2660056319459866e-11	TRUE
ENSMUSG00000096140	1.0916259450782564	0.8117782336198694	0.132923921224142	7.758996305821813e-11	7.578285492118098e-10	TRUE
ENSMUSG00000039087	9.240073312794625	0.8093935822600972	0.04497304894416217	2.3201945877824294e-73	1.5574818580955058e-71	TRUE
ENSMUSG00000075437	1.5850466654700135	0.8069414955808663	0.1095021715505262	1.3334712844563253e-14	1.6502901622681963e-13	TRUE
ENSMUSG00000056306	7.580239397718658	0.7992338409649922	0.049223509536425965	2.35035799098294e-60	1.22664150425008e-58	TRUE
ENSMUSG00000059852	3.886235181484099	0.7932090000059865	0.06930380745656906	7.579651948327179e-31	1.8366154089588192e-29	TRUE
ENSMUSG00000051136	1.4562370185391498	0.7931047738845167	0.11430083169240597	3.144504977501228e-13	3.5963974146653117e-12	TRUE
ENSMUSG00000053395	11.625568323110878	0.7908562984410147	0.03968059038836358	1.8904706829284006e-89	1.6398754138625946e-87	TRUE
ENSMUSG00000033697	12.408134645253172	0.7882691622067648	0.038401116527669234	9.697177947361087e-95	9.257150224423045e-93	TRUE
ENSMUSG00000047712	6.523473740727993	0.7877063195957312	0.05303831619479508	5.755650578919119e-51	2.462614730804651e-49	TRUE
ENSMUSG00000084989	1.7279865680409057	0.779637891658593	0.10458569041984352	7.339040459615294e-15	9.257619628905162e-14	TRUE
ENSMUSG00000038608	9.123301634550993	0.7760154141526664	0.04477086528584163	2.2918100648208326e-68	1.4274595344721755e-66	TRUE
ENSMUSG00000052281	1.1728198310369757	0.7759979743793259	0.12792999652823264	1.0172823330077987e-10	9.799854198858597e-10	TRUE
ENSMUSG00000019467	24.98021339774363	0.7757544564022251	0.027011503370523566	1.8948473045872558e-182	4.736370295426855e-180	TRUE
ENSMUSG00000002900	5.8132625234293895	0.7749222312070075	0.05648181876712146	6.440852693025973e-44	2.2575069854135502e-42	TRUE
ENSMUSG00000021097	15.633416306121996	0.7736665709696582	0.03415769618932561	1.2445447589851292e-114	1.5761744524293665e-112	TRUE
ENSMUSG00000107198	1.133222958396513	0.7721958055487351	0.13017262256869827	2.3174707362632975e-10	2.181615043448655e-9	TRUE
ENSMUSG00000021892	10.273393601686566	0.7681068677681153	0.042150192097274615	2.924571433721507e-75	2.0425766002355688e-73	TRUE
ENSMUSG00000021959	7.014956154765654	0.7678396009054814	0.05106101190634105	3.589314070253454e-52	1.5857255672698805e-50	TRUE
ENSMUSG00000063531	6.574089126063012	0.7669092176879017	0.05275545823219465	6.11421536822677e-49	2.4556395211459607e-47	TRUE
ENSMUSG00000118284	1.0503151872500176	0.7665681589921794	0.13545190685117872	1.185423203169928e-9	1.0445029958543192e-8	TRUE
ENSMUSG00000039358	2.7965887498647115	0.7656441984675797	0.08167184986324931	6.216553315822624e-22	1.0824552093554758e-20	TRUE
ENSMUSG00000021733	7.204985827637277	0.7647683208990834	0.05037336103432983	4.0381023846184933e-53	1.8396122542109716e-51	TRUE
ENSMUSG00000078816	40.93497322956612	0.7592224369991661	0.021065674224522785	1.678125705305564e-285	9.660410310209029e-283	TRUE
ENSMUSG00000028532	5.421470281097841	0.7563727191175424	0.05840894505005031	2.015740746106077e-39	6.392825868744098e-38	TRUE
ENSMUSG00000033498	1.634638056986917	0.753298094456069	0.10749575027399076	2.027968971188249e-13	2.3562890853616615e-12	TRUE
ENSMUSG00000049353	1.5494003923846813	0.7516293536165981	0.11042034157670408	7.502932127881611e-13	8.389240825978044e-12	TRUE
ENSMUSG00000043557	6.675639821913284	0.751486073848776	0.05264590914242686	2.6835734255059724e-47	1.0404049870272848e-45	TRUE
ENSMUSG00000090291	4.725024761233925	0.7512898871833286	0.06223524479005358	1.1808081434586344e-34	3.298795926659364e-33	TRUE
ENSMUSG00000040620	8.676311745755328	0.7497840055443452	0.04582373082311705	3.1081478544864648e-61	1.640152355324427e-59	TRUE
